SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.0710,1623162371.0708508,-3.1694891452789307,-0.26403194665908813,4.776453971862793,0.7962188422679901,1.3920745849609375,0.3494568169116974
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.1270,1623162371.127131,-1.8698861598968506,-0.3705349564552307,4.491899013519287,0.9286346435546875,1.5635223388671875,0.105682373046875
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.1270,1623162371.127177,-0.44733181595802307,-0.4392567574977875,4.0571794509887695,0.9729004800319672,1.7196961641311646,-0.047210693359375
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.1270,1623162371.12719,0.4163608253002167,-0.36560386419296265,3.575075626373291,0.9124755859375,1.7687835693359375,-0.14521782100200653
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.1310,1623162371.130701,0.5500137209892273,-0.13595762848854065,3.2090847492218018,0.8472289443016052,1.6682891249656677,-0.13533013314008713
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.1520,1623162371.1518068,0.3843449056148529,-0.019009694457054138,2.908735990524292,0.8229980170726776,1.4283446669578552,-0.07965083420276642
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.1600,1623162371.160084,-0.2788146734237671,-0.028613319620490074,2.5023891925811768,0.8563384711742401,1.3681640028953552,-0.10043326020240784
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.1750,1623162371.174818,-1.0999102592468262,-0.05511363595724106,2.1332767009735107,0.9108885526657104,1.4646910429000854,-0.16403191536664963
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.1950,1623162371.1953468,-1.8855360746383667,-0.07147850096225739,1.7614620923995972,0.9149322509765625,1.4356842041015625,-0.23707574605941772
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.2070,1623162371.206965,-2.320908546447754,-0.16854459047317505,1.33136785030365,0.8823394775390625,1.2728270888328552,-0.2745514065027237
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.2280,1623162371.227964,-2.183893918991089,-0.29039937257766724,0.9316277503967285,0.8986205458641052,1.2573089003562927,-0.3117522895336151
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.2610,1623162371.260696,-1.7509177923202515,-0.4704250693321228,0.5274109840393066,0.9196776747703552,1.529952883720398,-0.3363341689109802
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.2610,1623162371.260737,-1.0288399457931519,-0.5540645718574524,0.10563551634550095,0.8987731337547302,1.628433108329773,-0.39892578311264515
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.2830,1623162371.282569,-0.3918676972389221,-0.5024245381355286,-0.41029709577560425,0.8411712646484375,1.713241457939148,-0.4803161211311817
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.2830,1623162371.283112,0.21466374397277832,-0.601465106010437,-1.0456509590148926,0.8574370741844177,1.7003173828125,-0.5156249459832907
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.2950,1623162371.295134,0.8525946736335754,-0.7499619126319885,-1.6022666692733765,0.9829254150390625,1.8444517850875854,-0.5675658993422985
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.3100,1623162371.31039,1.21778404712677,-0.8740151524543762,-2.0753872394561768,1.0043792128562927,1.8992462158203125,-0.5344695895910263
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.3250,1623162371.325028,1.2498570680618286,-0.9463679194450378,-2.4601454734802246,0.9757384657859802,1.7734374403953552,-0.4140319377183914
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.3400,1623162371.340465,1.196999430656433,-0.9648885726928711,-2.841400384902954,0.9662780463695526,1.6758117079734802,-0.3525848239660263
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.3550,1623162371.355324,1.5465881824493408,-0.909598708152771,-3.203030824661255,1.0124053955078125,1.71923828125,-0.23573298752307892
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.3700,1623162371.3704371,2.260152578353882,-0.8300149440765381,-3.5210211277008057,1.0463409721851349,1.7780761122703552,-0.19606013596057892
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.3850,1623162371.385283,3.016746997833252,-0.8578358888626099,-3.7582740783691406,1.112213134765625,1.845184326171875,-0.13972467184066772
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.4010,1623162371.400531,4.027099609375,-0.9673709273338318,-3.9267420768737793,1.1307830512523651,1.770583987236023,-0.15046685934066772
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.4190,1623162371.419282,4.770378112792969,-1.0524888038635254,-4.072973728179932,1.08746337890625,1.5705109238624573,-0.11306759715080261
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.4320,1623162371.4324589,5.298957347869873,-1.2494157552719116,-4.174403190612793,1.0717467963695526,1.5601959228515625,-0.1256866157054901
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.4450,1623162371.4451709,5.6349263191223145,-1.405848741531372,-4.1244306564331055,1.022293083369732,1.5045623183250427,-0.22589105367660522
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.4790,1623162371.4785051,6.16278076171875,-1.5987169742584229,-4.065866947174072,0.9655456524342299,1.4149169325828552,-0.2728423476219177
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.4790,1623162371.47854,6.781448841094971,-1.826643943786621,-4.1119561195373535,0.8500213697552681,1.27203369140625,-0.24133294820785522
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.5010,1623162371.500874,7.230905532836914,-2.000842332839966,-4.089919567108154,0.8218688815832138,1.3463287949562073,-0.231201171875
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.5070,1623162371.507319,7.637918472290039,-1.98691987991333,-3.9148967266082764,0.798187255859375,1.431396484375,-0.2680663466453552
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.5210,1623162371.520642,7.841492652893066,-2.0775136947631836,-3.6879892349243164,0.7382049560546875,1.3406219482421875,-0.2526397705078125
3,2021-06-08 16:26:11.4190,00:05,60,5,2021-06-08 16:26:11.5380,1623162371.538182,8.060582160949707,-2.149406671524048,-3.5984673500061035,0.637725830078125,0.986053466796875,-0.3210143446922302
