SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.6830,1623161201.6828198,-0.36813727021217346,-0.028924111276865005,0.09602869302034378,0.336151123046875,-0.5526275634765625,-0.7158660888671875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.6830,1623161201.6828861,-0.48847725987434387,-0.0416572168469429,0.1180541068315506,0.3568267971277237,-0.540069580078125,-0.7024383544921875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.6960,1623161201.696233,-0.589970588684082,-0.05084805190563202,0.13403600454330444,0.3873291015625,-0.5084685683250427,-0.6618193984031677
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.6960,1623161201.696274,-0.7266045212745667,-0.05176950618624687,0.1511199176311493,0.3972931057214737,-0.498870849609375,-0.6450653076171875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.7180,1623161201.7175732,-0.8912732601165771,-0.05117242410778999,0.16680166125297546,0.4097747802734375,-0.4845580458641052,-0.613861083984375
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.7270,1623161201.727133,-1.0643072128295898,-0.029622923582792282,0.1881607472896576,0.4081421047449112,-0.478546142578125,-0.5999298095703125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.7400,1623161201.740169,-1.178001046180725,-0.0031399184372276068,0.22829538583755493,0.4080505520105362,-0.4640960097312927,-0.5927886962890625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.7710,1623161201.7714891,-1.2720762491226196,0.04011381417512894,0.27249640226364136,0.4128570556640625,-0.4469451904296875,-0.5843658447265625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.7720,1623161201.771529,-1.3823415040969849,0.08087988197803497,0.3501019775867462,0.413330078125,-0.4443511962890625,-0.57781982421875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.7880,1623161201.7883968,-1.604421615600586,0.11120343208312988,0.4704771339893341,0.4109649807214737,-0.4576262831687927,-0.5725250244140625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.8050,1623161201.8053842,-1.8307042121887207,0.14116506278514862,0.6148161888122559,0.3999023586511612,-0.4605255126953125,-0.5631865859031677
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.8190,1623161201.819223,-2.017578125,0.20053809881210327,0.7624623775482178,0.3986511379480362,-0.4529876708984375,-0.5631256103515625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.8300,1623161201.8302479,-2.1860218048095703,0.24726645648479462,0.9301056861877441,0.3980865627527237,-0.4209289252758026,-0.597686767578125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.8470,1623161201.846918,-2.3249499797821045,0.28171685338020325,1.1166396141052246,0.4007415622472763,-0.4029235541820526,-0.6137084364891052
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.8620,1623161201.8617702,-2.4470343589782715,0.3235897421836853,1.3212065696716309,0.3989257961511612,-0.349609375,-0.6366729736328125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.8760,1623161201.875795,-2.5949337482452393,0.36103299260139465,1.552868127822876,0.3959350734949112,-0.3325500190258026,-0.6468963623046875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.8910,1623161201.890667,-2.8157241344451904,0.36212781071662903,1.8332473039627075,0.3859863430261612,-0.3038482964038849,-0.67437744140625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.9060,1623161201.905785,-3.1355059146881104,0.36153125762939453,2.081528902053833,0.3804626613855362,-0.2868042290210724,-0.6773223280906677
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.9210,1623161201.921076,-3.4500439167022705,0.31724584102630615,2.3467962741851807,0.405303955078125,-0.182098388671875,-0.6906585693359375
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.9360,1623161201.9358668,-3.836968183517456,0.31622982025146484,2.5641846656799316,0.4088440090417862,-0.1207122951745987,-0.7149657607078552
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.9510,1623161201.950947,-4.094930648803711,0.32838529348373413,2.809393882751465,0.3997344821691513,0.02099609375,-0.7492370009422302
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.9660,1623161201.966166,-4.277486801147461,0.3435346782207489,3.019564390182495,0.3856964111328125,0.040756210684776306,-0.7674559950828552
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.9820,1623161201.982339,-4.511061668395996,0.3182429075241089,3.19809627532959,0.3967285007238388,0.1817779429256916,-0.8048858046531677
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:41.9970,1623161201.996872,-4.463188171386719,0.2747172713279724,3.38226056098938,0.4313201904296875,0.31094358023256063,-0.82049560546875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:06:42.0140,1623161202.01367,-4.266197681427002,0.2527312934398651,3.611802101135254,0.4640350341796875,0.461441021412611,-0.78387451171875
